,Número de registro,Título,Autor,Data de produção,Dimensões,Material/Técnica,Classificação,Resumo descritivo,Condições de reprodução,Local de produção,ACERVO,URL,TAINACAN_COLECTION_ID
81,C.0404.0050,,,,"Azulejos inteiros descatados do Silhar (avulsos): 15 x 15 (em média) | Silhar - Lateral esquerda da nave: a 103 x l 685 + 255 (940) | Silhar - Lateral direita da nave: a 101 x l 1383 | Silhar - Altar de Santo Antônio: a 115,5 x l 144,5 | Silhar - Altar de São Francisco: 114 x 144 | Silhar - Lateral esquerda da Capela Mor: a 102 (antes da escada) a 75 (depois da escada) x l 102 + 542 + 136 (780) | Silhar - Lateral direita da Capela Mor: a 102 (antes da escada) a 75 (depois da escada) x l102 + 31 + 132 + 365 (629)",,04 Construção > 04.4 Fragmento de Construção,Silhar de azulejos,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
82,C.1001.0051,Missale romanum,,1860.0,a 30 x l 21,Papel,10 Comunicação > 10.1 Documento,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
83,C.1001.0052,Missale romanum,,1860.0,a 30 x l 21,Papel,10 Comunicação > 10.1 Documento,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
84,C.1001.0053,Missae sanctorum,,1864.0,"a 29 x l 18,5",Papel,10 Comunicação > 10.1 Documento,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
85,C.1003.0054,,,,"a 66,5 x l 17",Ferro,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
86,C.0608.0055,,,,a 12 x l 18,Ferro,06 Trabalho > 06.8 Equipamento de Uso Geral,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
87,C.0505.0058,,,,,Madeira,05 Interiores > 05.5 Peça de Mobiliário,"Altar portátil (nicho de madeira, com mesa servindo de base, com frisos recortados e adornados)",,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
88,C.0505.0059,,,,200 x 100 x 40 (com lateral),Madeira,05 Interiores > 05.5 Peça de Mobiliário,Trono para imagem de parede com dossel,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
89,C.0104.0060,,,,12,Ferro,01 Caça e Guerra > 01.4 Munição e Acessório,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
90,C.0904.0061,,,,Total: a 153 (lanterna triangular) | Lanterna: a 42 x l 14,Folha de flandres | Madeira,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
