,Classificação,Denominação,Título,Autor,Local de produção,Data de produção,Material/Técnica,Dimensões,Estado de conservação,Resumo descritivo,Mídias relacionadas,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
10,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"“Exíguos tentáculos das coisas amálgamas do homem”, da série “Canais do Aparelho Humano”",Gilda Vogt Maia Rosa,Brasil,2002,Nanquim e cabelo sobre papel de arroz,"Obra: 59,5 x 83,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
11,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"“Corpo emerso percurso oscilante”, da série “Canais do Aparelho Humano”",Gilda Vogt Maia Rosa,Brasil,2001,Nanquim e cabelo sobre papel de arroz,"Obra: 93,5 x 65,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
12,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Sombras”,Marta Berger,Brasil,1998/1999 (circa),Xilogravura em relevo seco,"Obra: 51,5 x 40,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
13,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,Sem título,Turi Simeti,,,Calcogravura,"Obra: 49,5 x 69,5 cm",Regular,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
14,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Mistélia 20/60”,Mariana Silva da Silva,Brasil,1986,Litogravura,"Obra: 60,8 x 79,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
15,10 Comunicação > 10.1 Documento,Fotografia,Sem título,Tarcísio Mattos,,2000,Fotografia colorida,"Obra: 62,0 x 90,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
16,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,Sem título,Mariana Silva da Silva,,2005,Nanquim sobre papel,"Obra: 150,0 x 262,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
17,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,"Sem título, da série “Cidades inventadas”",Lela Martorano,Brasil,2005,Fotografia colorida sobre madeira,"Obra: 60,0 x 90,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
18,10 Comunicação > 10.1 Documento,,“Pequenos formatos (scottish mountains)”,Carla Zaccagnini,Brasil,2003,Fotografia,"Obra: 20,0 x 25,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
19,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,Sem título,Hélio Custódio Fervenza,Brasil,1989,Xilogravura sobre papel,"Obra: 51,0 x 42,5 cm",Bom,"Quadrado negro ao centro. Na parte superior ao quadrado à esquerda, pequena forma com 2 linhas negras cruzadas. Na parte inferior ao quadrado à direita, pequena forma de linhas negras com 2 pontas distintas. No interior do quadro, linha sinuosa vazada.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
20,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“Preciosos vasos condutores extraidores de vida de uma plumagem já falecida”,Gilda Vogt Maia Rosa,,2005,Nanquim sobre papel,"Obra: 100,0 x 70,0 cm",Bom,"Por toda extensão da obra, linhas negras sinuosas que se encontram, dando diferentes volumes e formas à composição. No verso, seta indicativa da posição da obra.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
21,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Sem título,Bettina Vaz Guimarães,,2005,Acrílica sobre papel,"Obra: 70,2 x 49,8 cm",Bom,"Imagem centralizada no papel composta por tons de cinza e preto. Na parte superior da imagem, forma que remete a idéia de espremedor de frutas. Na parte inferior, forma preenchida em tons de cinza. No verso, ao centro e na parte inferior, resquícios de tinta da fase de produção da obra.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
22,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,“Fora [do ar]”,Maria Raquel da Silva Stolf,Brasil,2002-2004,Multimídia e impressão sobre papel,"Capa e encarte: 14,0 x 14,0 cm Duração total dos registros sonoros:",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
23,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,“Oração – Intenção à Tarkovsky”,Gilda Vogt Maia Rosa,Brasil,2005,Multimídia (vídeo),,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
24,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,“Coleção de nuvens”,Gilda Vogt Maia Rosa,Brasil,2003,"Fotocópia, adesivos e foto digital","Álbum: 20,0 x 14,0 cm Figuras (9): 6,0 x 9,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
25,10 Comunicação > 10.1 Documento,,"“Butano eclipsed island, blackout night worklab”",Daniel Albernaz Acosta,Brasil,2003,Fotografia colorida montada em moldura de eucatex,"29,3 x 44,4 x 2,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
26,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Sem título,Mariana Palma,Brasil,2005,Aquarela sobre papel,"60,9 x 39,4 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
