,Classificação,Denominação,Título,Autor,Local de produção,Data de produção,Material/Técnica,Dimensões,Estado de conservação,Resumo descritivo,Mídias relacionadas,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
57,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2004,Nanquim sobre papel,"Obra: 14,3 x 18,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
58,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 15,8 x 15,7 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
59,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 11,6 x 17,2 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
60,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Fotografia,“W. L. 140 – Setembro 08 – 07/09”,Daniel Senise Portela,,2008,Colagem e impressão em jato de tinta sobre papel,"Obra: 90,0 x 90,0 cm",Bom,"Fotografia de forro antigo, com variações de cor entre o preto, amarelo e branco.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
61,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de nu masculino,César Rossi,França,1893/1894 (circa),Grafite sobre papel,"Obra: 44,3 x 32,3 cm",Regular,"Figura masculina nua, virada à esquerda, com a perna direita estendida e o joelho esquerdo dobrado. Mão esquerda sobre joelho dobrado.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
62,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Embarcações,Antônio Diogo da Silva Parreiras,Brasil,1921,Aquarela sobre papel,"Obra: 20,6 x 30,0 cm",Bom,Barcos sobre o mar atracados em terra. Árvores à esquerda.,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
63,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Cabeça de mulher,César Rossi,,,Óleo sobre cartão,"Obra: 19,9 x 18,9 cm",Bom,"Figura feminina de coque, virada de lado, com o rosto voltado à direita.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
64,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Barco à vela,Belmiro Barbosa de Almeida Junior,,1915,Óleo sobre madeira,"Obra: 13,5 x 17,8 cm",Bom,"Barco à vela sobre o mar. Ao fundo, montanhas e outras embarcações.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
65,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Natureza morta,Mariana Silva da Silva,,,Aquarela sobre papel,"Obra: 32,3 x 24,0 cm",Bom,Flores em tons de branco dentro de vaso de plantas em tons de branco com detalhes em tons de azul sobre mesa com toalha e objetos.,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
66,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura digital,“3 campos”,Carlos Alberto Carneiro Asp,Brasil,1997,Impressão a laser sobre papel,"Obra: 29,8 x 39,9 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
67,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“8013”,Fayga Perla Ostrower,Brasil,1980,Litografia sobre papel,"Obra: 80,0 x 61,0 cm Imagem: 60,1 x 39,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
68,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“2103”,Fayga Perla Ostrower,Brasil,2001,Serigrafia sobre papel,"Obra: 75,6 x 55,8 cm Imagem: 70,5 x 51,8 cm",Bom,"No centro da obra um círculo amarelo na lateral central a esquerda e no centro prolongando-se para o canto superior direito “ramos” de cor rocha. Completando o plano central sob esses dois desenhos uma faixa de cor amarela e uma de cor laranja finalizadas com uma faixa estreita azul claro em cada extremidades. As margens possuem duas cores, a metade superior é preta e a metade inferior é azul.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
69,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“2101”,Fayga Perla Ostrower,Brasil,2001,Serigrafia sobre papel,"Obra: 75,5 x 55,9 cm Imagem: 69,3 x 49,7 cm",Bom,"Desenho abstrato central em  marrom e nas laterais direita e esquerda listas em azuis, roxo e laranja azul em fundo ocre.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
70,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“9806”,Fayga Perla Ostrower,Brasil,1996,Serigrafia sobre papel,"Obra: 50,9 x 36,6 cm Imagem: 45,3 x 30,8 cm",Bom,"Desenho abstrato central em azul, branco, roxo e preto em fundo ocre impresso na cor laranja.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
71,10 Comunicação > 10.1 Documento,Fotografia,“Azul marinho: díptico”,Fabiana Feronha Wielewicki,Brasil,2007,Fotografia colorida,"Obra: 50,0 x 140,0 cm Cada foto: 50,0 x 70,0 cm",Bom,"Díptico formado por duas fotografias. Na fotografia à esquerda, figura feminina de costas sentada sobre pano azul na praia, olhando para livro aberto. Na fotografia à direita, figura feminina de costas sentada sobre pano azul em uma sacada de apartamento, olhando para livro aberto atrás de duas cortinas azuis.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
72,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,Sem título,André Rigatti,Brasil,2009,Serigrafia termo expandida sobre lã,"Obra: 40,0 x 50,0 x 2,5 cm",Bom,"A obra é esticada sobre chassis de madeira e fixada no verso com grampos de ferro. O suporte é em tecido 100% lã texturizada, nas tonalidades de azul, cinza e preto. O desenho, que possui tom de cinza, é impresso com serigrafia e a tinta adquire relevo após ser submetida a altas temperaturas com soprador térmico. Obra composta por uma forma geométrica rotacionada e sobreposta, gerando aspecto similar a grades ou linhas assimátricas localizada no canto inferior esquerdo da obra sobre lã texturizada.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
73,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,Sem título,André Rigatti,Brasil,2009,Serigrafia termo expandida sobre lã,"Obra: 39,0 x 22,5 x 2,5 cm",Bom,"A obra é esticada sobre chassis de madeira e fixada no verso com grampos de ferro. O suporte é em tecido 100% lã texturizada, nas tonalidades de azul, cinza e preto. O desenho, que possui tom de cinza, é impresso com serigrafia e a tinta adquire relevo após ser submetida a altas temperaturas com soprador térmico. Obra composta por uma forma geométrica rotacionada e sobreposta, gerando aspecto similar a grades ou linhas assimátricas localizada na parte superior e inferior da obra sobre fundo de lã azul marinho.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
74,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“9406”,Fayga Perla Ostrower,Brasil,1994,Xilogravura sobre papel,"Obra: 51,0 x 77,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
75,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,“9503”,Fayga Perla Ostrower,Brasil,1995,Gravura em metal sobre papel,"Obra: 51,3 x 71,6 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
76,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Anuloma-Viloma Azteca”,Rosângela Rennó Gomes,Brasil,2011,"Vídeo monocanal, formato hdv/dvd disc ntsc-color/sound",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
77,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Bouk [Ring/Loop]”,Rosângela Rennó Gomes,Brasil,11/2009,"Vídeo monocanal, formato hdv/dvd disc ntsc-color/sound",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
78,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Kundalini Freedom”,Rosângela Rennó Gomes,Brasil,2011,"Vídeo monocanal, formato hdv/dvd disc ntsc-color/sound",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
79,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Uyuni Sutra”,Rosângela Rennó Gomes,Brasil,2011,"Vídeo monocanal, formato hdv/dvd disc ntsc-color/sound",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
80,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,Vídeo-arte,“Vera Cruz”,Rosângela Rennó Gomes,Brasil,2000,"Vídeo monocanal, formato hdv/dvd disc ntsc-color/sound",,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
81,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,Sem título,Gilda Vogt Maia Rosa,,1992 (circa),Litografia sobre papel,"Obra: 50,0 x 70,0 cm",Bom,"Composição com corpo humano e rio, dois copos, banjo e harpa em linhas pretas e cinco bolas amarelas sobre fundo branco.",,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
82,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,“Espadinha”,Gilda Vogt Maia Rosa,,2007,Fundição em bronze,"Obra: 13,5 x 8,0 x 1,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
83,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Estudo de traje,Victor Meirelles de Lima,Itália,1854/1856 (circa),Óleo sobre cartão,"Obra: 30,5 x 18,0 cm Moldura: 40,4 x 27,4 x 4,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
84,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,Sem título,Mariana Silva da Silva,,,Óleo sobre madeira,"Obra: 15,5 x 14,5 cm",Bom,Busto de mulher com tecido branco sobre os cabelos louros e batom vermelho.,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
85,02 Artes Visuais/Cinematográfica > 02.4 Estampa,Gravura,Vue de L’Île de Ste. Catherine,Eliseu D'Angelo Visconti,Brasil,,Gravura,"Obra: 28,0 x 42,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
86,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,“Paisagens sobre Fuji 22”,Erica Kaminishi,,2013,Desenho e colagem sobre papel,"Obra: 29,5 x 21,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
87,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Pintura,“A flor pelágica”,Flávia Metzler,Brasil,2010,Óleo sobre linho,"Obra: 40,0 x 50,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
88,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,"“‘A Taça de Vinho’, de J. Vermeer (Série: de I a VIII)”",Amador de Carvalho Perez,Brasil,2004,Impressão a laser sobre papel couché,"Obra: 21,3 x 29,7 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
89,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,“Telhados de Ouro Preto” (Exemplar: 101/200-9),Antônio Diogo da Silva Parreiras,Brasil,Agosto de 1977,Serigrafia sobre papel canson 200mg,"Obra: 50,0 x 70,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
90,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,Sem título,Gilda Vogt Maia Rosa,França,1870,Óleo sobre madeira,"Obra: Moldura: 24,0 x 40,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
91,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,“ruídosilenciosos dentrofora”,Hélio Custódio Fervenza,Brasil,2013,"Instalação (fotografia, fitas, adesivo vinílico)",Obra: variável conforme montagem,Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
92,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,"“Parede de azulejos, está tudo bem”",Bianca Tomaselli,Brasil,2014,Fio de cabelo humano sobre papel de algodão,"Obra: 58,0 x 80,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
93,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,“Lembrar para sobreviver”,Alexandre Sequeira,Brasil,22/12/2015,Impressão em papel jornal,"Obra: 38,0 x 28,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
94,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,“Evaporação”,Fran Favero,Brasil,29/12/2015,Impressão em papel jornal,"Obra: 38,0 x 28,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
95,,,"“entrenotícias”, da série “Nós em nós”",Carlos Franzoi,Brasil,05/01/2016,,"Impressão em papel jornal: 38,0 x 28,5 cm Escultura: 18,0 x 7,0 x 7,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
0,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,“Oceano Pacífico”,Gilda Vogt Maia Rosa,Brasil,22/12/2015,Impressão em papel jornal,"Obra: 38,0 x 28,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
1,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,“Céu da boca&arparado”,Maria Raquel da Silva Stolf,Brasil,29/12/2015,Impressão em papel jornal,"Obra: 38,0 x 28,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
2,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,Sem título,Rubens Oestroem,,1982,Monotipia sobre tela,"Obra: 100,0 x 70,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
3,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,“Construção proibida”,Rubens Oestroem,,2013,Mista em acrílico sobre tela,"Obra: 98,0 x 76,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
4,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,,"“Ex-voto”, da série “Ex-votos”",Célio de Paula Braga,Holanda,2010,Tecido de algodão bordado sobre porcelana branca,"Obra: 35,0 x 18,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
5,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,"“(Conjunto 1)”, da série “Desenhos de um real”",Diego de los Campos Orefice,Brasil,2016,Nanquim sobre papel,"Obra: 6 desenhos com 21,0 x 15,0 cm cada",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
6,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,"“(Conjunto 2)”, da série “Desenhos de um real”",Diego de los Campos Orefice,Brasil,2016,Caneta esferográfica e aquarela sobre papel,"Obra: 6 desenhos com 21,0 x 15,0 cm cada",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
7,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Brasil [estudo de embarcação],Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 16,0 x 23,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
8,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 13,5 x 19,4 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
9,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo para “Passagem do Humaitá”,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 23,3 x 32,3 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
10,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,“Magé [estudo de embarcação]”,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 13,5 x 17,3 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
11,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 25,7 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
12,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de Mastros de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 26,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
13,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de proa de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 26,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
14,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de proa de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 26,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
15,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Cabeça de homem,Victor Meirelles de Lima,Paraguai,,Crayon sobre papel colado em cartão,"Obra: 21,2 x 14,5 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
16,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Vapor Amazonas [estudo de proa de embarcação],Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 26,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
17,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de detalhe de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 26,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
18,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,Estudo de embarcação,Victor Meirelles de Lima,Paraguai,,Grafite sobre papel,"Obra: 21,0 x 26,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
