,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Resumo descritivo,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
38,MCHA.0736,Pano de móvel,,,05 Interiores > 05.1 Acessório de Interiores,,,"43,0","30,0",,Tecido de algodão com bordado,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
39,MCHA.0737,Pano de móvel,,,05 Interiores > 05.1 Acessório de Interiores,,,"43,5","30,0",,Tecido de algodão com bordado,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
40,MCHA.0738,Pano de móvel,,,05 Interiores > 05.1 Acessório de Interiores,,,"48,0","32,0",,Tecido de algodão com bordado,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
41,MCHA.0739,Pano de móvel,,,05 Interiores > 05.1 Acessório de Interiores,,,"47,5","31,5",,Tecido de algodão com bordado,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
42,MCHA.0740,Pano de móvel,,,05 Interiores > 05.1 Acessório de Interiores,,,"56,0","108,5",,Tecido de algodão com bordado,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
43,MCHA.0741,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"37,0","36,5",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
44,MCHA.0742,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"37,0","36,0",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
45,MCHA.0743,Guardanapo,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"55,0","49,0",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
46,MCHA.0744,Guardanapo,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"54,7","49,5",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
47,MCHA.0745,Guardanapo,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"54,5","49,5",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
